"vehiculo","filtro","created_at","updated_at"
1861,353,"2013-04-28 18:30:07","2013-04-28 18:30:07"
1863,353,"2013-04-28 18:30:08","2013-04-28 18:30:08"
1865,353,"2013-04-28 18:30:08","2013-04-28 18:30:08"
1868,353,"2013-04-28 18:30:08","2013-04-28 18:30:08"
1870,353,"2013-04-28 18:30:09","2013-04-28 18:30:09"
1872,353,"2013-04-28 18:30:09","2013-04-28 18:30:09"
1873,353,"2013-04-28 18:30:09","2013-04-28 18:30:09"
1875,353,"2013-04-28 18:30:10","2013-04-28 18:30:10"
1876,353,"2013-04-28 18:30:10","2013-04-28 18:30:10"
1877,353,"2013-04-28 18:30:10","2013-04-28 18:30:10"
1883,353,"2013-04-28 18:30:11","2013-04-28 18:30:11"
1885,353,"2013-04-28 18:30:11","2013-04-28 18:30:11"
1886,353,"2013-04-28 18:30:11","2013-04-28 18:30:11"
1888,353,"2013-04-28 18:30:12","2013-04-28 18:30:12"
1890,353,"2013-04-28 18:30:12","2013-04-28 18:30:12"
1892,353,"2013-04-28 18:30:12","2013-04-28 18:30:12"
1895,353,"2013-04-28 18:30:13","2013-04-28 18:30:13"
1896,353,"2013-04-28 18:30:13","2013-04-28 18:30:13"
1898,353,"2013-04-28 18:30:13","2013-04-28 18:30:13"
1902,353,"2013-04-28 18:30:14","2013-04-28 18:30:14"
1903,353,"2013-04-28 18:30:14","2013-04-28 18:30:14"
1916,353,"2013-04-28 18:30:16","2013-04-28 18:30:16"
1917,353,"2013-04-28 18:30:16","2013-04-28 18:30:16"
1919,353,"2013-04-28 18:30:16","2013-04-28 18:30:16"
1930,353,"2013-04-28 18:30:17","2013-04-28 18:30:17"
1931,353,"2013-04-28 18:30:18","2013-04-28 18:30:18"
1939,353,"2013-04-28 18:30:18","2013-04-28 18:30:18"
1940,353,"2013-04-28 18:30:19","2013-04-28 18:30:19"
1970,353,"2013-04-28 18:30:23","2013-04-28 18:30:23"
1971,353,"2013-04-28 18:30:24","2013-04-28 18:30:24"
1972,353,"2013-04-28 18:30:24","2013-04-28 18:30:24"
1973,353,"2013-04-28 18:30:24","2013-04-28 18:30:24"
1977,353,"2013-04-28 18:30:24","2013-04-28 18:30:24"
1978,353,"2013-04-28 18:30:25","2013-04-28 18:30:25"
1979,353,"2013-04-28 18:30:25","2013-04-28 18:30:25"
1980,353,"2013-04-28 18:30:25","2013-04-28 18:30:25"
1981,353,"2013-04-28 18:30:26","2013-04-28 18:30:26"
1982,353,"2013-04-28 18:30:26","2013-04-28 18:30:26"
1982,353,"2013-04-28 18:30:26","2013-04-28 18:30:26"
1984,353,"2013-04-28 18:30:26","2013-04-28 18:30:26"
